 Map ID #, Date Sampled in 2023, NAD27 X cord EAST 17T, NAD27 Y cord NORTH, Depth (ft) 2023, Secchi Depth  (m) 2021,  All species abundance, Native Sp. Abundance, Non-Native sp. Abundance, Ceratophyllum Abundance, Elodea sp. Abundance, Heteranthera dubia Abundance, Lemna trisulca Abundance, Myriophyllum spicatum Abundance, Najas flexilis Abundance, Najas guadalupensis Abundance, Najas minor Abundance, Potamogeton crispus Abundance, Potamogeton praelongus Abundance, Potamogeton pusillus Abundance, Potamogeton zosteriformis Abundance, Vallisneria americana Abundance, N. obtusa Abundance
111,19-Aug,640100,4663900,3.9,1,S,S,S,Z,T,Z,Z,T,S,T,S,T,Z,Z,Z,Z,Z
112,19-Aug,639900,4663900,3.4,1,T,T,T,Z,T,Z,Z,Z,Z,Z,Z,T,Z,Z,Z,Z,Z
113,19-Aug,639400,4663900,3.7,0.8,M,M,#REF!,T,T,S,Z,T,M,T,Z,T,Z,Z,Z,Z,Z
114,19-Aug,639300,4663800,6.7,0.8,T,T,T,T,T,T,Z,T,Z,Z,Z,Z,Z,Z,Z,Z,Z
115,19-Aug,639100,4664000,3.3,0.8,T,T,T,Z,Z,Z,Z,Z,Z,Z,Z,T,Z,Z,Z,Z,Z
116,19-Aug,638900,4664000,4.3,1,T,Z,T,Z,Z,Z,Z,T,Z,Z,Z,Z,Z,Z,Z,Z,Z
117,19-Aug,638300,4664000,5.6,1,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
118,19-Aug,638500,4664200,3.2,1,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
119,19-Aug,638400,4664300,3.3,1,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
120,19-Aug,638500,4664400,3.8,1,T,T,T,Z,T,Z,Z,Z,T,Z,Z,T,Z,Z,Z,Z,Z
121,19-Aug,638300,4664400,3.6,1,T,T,T,Z,Z,Z,Z,Z,T,Z,Z,T,Z,Z,Z,Z,Z
122,19-Aug,638200,4664300,4.4,1,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
123,19-Aug,638100,4664400,3.3,1,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
124,19-Aug,638000,4664600,2.9,0.8,T,T,Z,Z,T,T,Z,Z,T,Z,Z,Z,Z,Z,Z,Z,Z
125,19-Aug,637900,4664500,3.4,0.9,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
126,19-Aug,637800,4664600,4.5,1,T,T,T,Z,T,Z,Z,T,T,Z,Z,T,Z,Z,Z,Z,Z
127,19-Aug,637700,4664500,4.2,1,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
128,19-Aug,637500,4664800,3.2,1,T,T,T,Z,Z,Z,Z,Z,T,Z,Z,T,Z,Z,Z,Z,Z
129,19-Aug,637500,4664900,3.3,0.9,T,T,T,Z,T,Z,Z,Z,Z,T,Z,T,Z,Z,Z,Z,Z
130,19-Aug,637400,4664800,4,1,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
131,19-Aug,637200,4664900,3.3,0.8,T,Z,T,Z,Z,Z,Z,Z,Z,Z,Z,T,Z,Z,Z,Z,Z
132,19-Aug,637000,4664800,3.1,1,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
133,19-Aug,637100,4665000,2.9,0.8,T,T,Z,Z,Z,Z,Z,Z,T,Z,Z,Z,Z,Z,Z,Z,Z
134,19-Aug,637000,4665000,3.7,0.9,T,T,Z,Z,Z,T,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
135,19-Aug,637000,4665100,6.9,0.9,T,Z,T,Z,Z,Z,Z,Z,Z,Z,Z,T,Z,Z,Z,Z,Z
136,19-Aug,636700,4665200,8.4,1,T,T,Z,Z,Z,Z,Z,Z,T,Z,Z,Z,Z,Z,Z,Z,Z
137,19-Aug,636600,4665200,3.1,1,T,Z,T,Z,Z,Z,Z,Z,Z,Z,Z,T,Z,Z,Z,Z,Z
138,19-Aug,636300,4665300,2.8,1,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
139,19-Aug,636000,4665500,3,0.9,T,T,T,Z,Z,Z,Z,Z,T,Z,Z,T,Z,Z,Z,Z,Z
140,19-Aug,635600,4665700,3.1,0.9,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
141,19-Aug,635500,4665800,3.1,1,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
142,19-Aug,635200,4666000,2.7,1,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
143,19-Aug,635100,4666200,5.1,0.8,T,T,T,Z,Z,T,Z,Z,Z,Z,Z,T,Z,Z,Z,Z,Z
144,19-Aug,635000,4666300,3.1,1,T,T,T,Z,Z,Z,Z,Z,T,Z,Z,T,Z,Z,Z,Z,Z
145,19-Aug,634900,4666500,3.6,1,T,Z,T,Z,Z,Z,Z,Z,Z,Z,Z,T,Z,Z,Z,Z,Z
146,19-Aug,634500,4667300,6.5,0.9,S,S,Z,Z,S,Z,Z,Z,Z,Z,Z,T,Z,Z,Z,Z,Z
147,19-Aug,634400,4667400,2.9,0.9,S,S,S,S,S,Z,Z,S,T,Z,Z,T,Z,Z,Z,Z,Z
148,19-Aug,634400,4667500,3.6,0.9,T,T,T,T,Z,Z,Z,Z,Z,Z,Z,T,Z,Z,Z,Z,Z
149,19-Aug,634300,4667600,4.2,0.9,S,S,T,S,S,T,T,T,T,Z,Z,Z,Z,Z,Z,T,Z
150,19-Aug,634100,4667600,6.9,0.9,S,S,T,S,S,T,Z,T,Z,Z,Z,T,Z,Z,Z,Z,Z
151,19-Aug,634000,4667500,5.5,0.9,S,S,T,S,Z,S,Z,Z,Z,Z,Z,T,Z,Z,Z,Z,Z
152,19-Aug,634200,4667500,8.2,1,S,S,S,S,T,Z,Z,S,Z,Z,Z,Z,Z,Z,Z,Z,Z
153,19-Aug,634200,4667400,4.1,1,S,S,S,S,Z,T,Z,S,Z,Z,Z,T,Z,Z,Z,Z,Z
154,19-Aug,634000,4667300,8.2,1,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
155,19-Aug,633900,4667400,4.1,0.9,S,S,T,T,T,S,Z,T,Z,Z,Z,Z,Z,Z,Z,S,Z
156,19-Aug,633800,4667400,3.2,0.9,M,M,Z,Z,Z,M,Z,T,T,Z,Z,Z,Z,Z,Z,T,Z
157,19-Aug,633700,4667300,3.3,0.9,T,T,T,Z,T,T,Z,T,Z,Z,Z,Z,Z,Z,Z,Z,Z
158,19-Aug,633500,4667400,3.1,0.75,T,T,Z,Z,T,T,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
159,19-Aug,633400,4667400,3.1,0.9,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
160,19-Aug,633400,4667500,5.2,1,S,S,S,T,S,Z,Z,S,Z,Z,Z,Z,Z,Z,Z,Z,Z
161,19-Aug,633300,4667600,6.2,1,S,S,T,T,S,Z,Z,T,Z,T,Z,T,Z,Z,Z,Z,Z
162,19-Aug,633100,4667800,1.2,1.75,T,T,Z,Z,T,T,Z,Z,T,Z,Z,Z,Z,Z,Z,Z,Z
163,19-Aug,633000,4667900,1.5,0.9,S,S,T,Z,T,S,Z,T,S,Z,Z,Z,Z,Z,Z,Z,Z
164,19-Aug,632700,4668100,1.8,1.5,T,T,Z,T,T,T,T,Z,T,Z,Z,Z,Z,Z,Z,Z,Z
165,19-Aug,632500,4668200,1.9,1.5,T,T,Z,Z,Z,T,Z,Z,T,Z,Z,Z,Z,Z,Z,Z,Z
166,19-Aug,632500,4668400,2.8,1.8,T,T,Z,Z,Z,Z,Z,Z,Z,T,Z,Z,Z,T,Z,T,Z
167,19-Aug,632500,4668500,2.9,1.5,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
168,19-Aug,632700,4668700,2.6,1.7,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
169,19-Aug,632700,4668900,2.2,1.6,T,T,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,T,Z,Z,Z
170,19-Aug,632800,4669000,2,2.1,T,T,T,Z,T,Z,Z,T,Z,Z,Z,Z,Z,Z,Z,Z,Z
171,19-Aug,632700,4669100,3.8,1.6,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
172,19-Aug,632600,4669500,3,1.6,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
173,19-Aug,632600,4669700,2,1.6,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
